Year,Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
2024,842,Chase Anderson,36,2TM,AL,29,1,0,58.1,7,5,2,0,0,1.0,,,-1,-3.0,1.08,1.31,0.24,1.29,,,,,,,1,,anderch01
2024,842,Chase Anderson,36,BOS,AL,27,1,0,52.0,5,4,1,0,0,1.0,,,-1,-4.0,0.87,1.32,0.19,1.29,,,,,,,1,,anderch01
2024,842,Chase Anderson,36,TEX,AL,2,0,0,6.1,2,1,1,0,0,1.0,,,0,0.0,2.84,1.28,1.0,1.3,,,,,,,/1,,anderch01
2024,843,Mike Baumann,28,5TM,2LG,57,0,0,58.1,12,7,3,2,0,0.833,,,-2,-7.0,1.54,1.34,0.18,1.3,,,,,,,1,,baumami01
2024,843,Mike Baumann,28,3TM,AL,45,0,0,44.0,9,5,2,2,0,0.778,,,-2,-9.0,1.43,1.33,0.16,1.29,,,,,,,1,,baumami01
2024,843,Mike Baumann,28,2TM,NL,12,0,0,14.1,3,2,1,0,0,1.0,,,0,0.0,1.88,1.38,0.25,1.33,,,,,,,1,,baumami01
2024,843,Mike Baumann,28,BAL,AL,17,0,0,18.1,5,2,2,1,0,0.8,,,0,0.0,1.96,1.33,0.24,1.29,,,,,,,1,,baumami01
2024,843,Mike Baumann,28,SEA,AL,18,0,0,16.1,2,1,0,1,0,0.5,,,-1,-12.0,0.55,1.32,0.06,1.29,,,,,,,1,,baumami01
2024,843,Mike Baumann,28,SFG,NL,1,0,0,0.2,0,0,0,0,0,,,,0,0.0,0.0,1.35,0.0,1.3,,,,,,,/1,,baumami01
2024,843,Mike Baumann,28,LAA,AL,10,0,0,9.1,2,2,0,0,0,1.0,,,-1,-21.0,1.93,1.35,0.2,1.29,,,,,,,1,,baumami01
2024,843,Mike Baumann,28,MIA,NL,11,0,0,13.2,3,2,1,0,0,1.0,,,0,0.0,1.98,1.38,0.27,1.34,,,,,,,1,,baumami01
2024,844,Mark Leiter Jr.,33,2TM,2LG,60,0,0,58.0,6,1,4,1,0,0.833,,,0,0.0,0.78,1.35,0.08,1.32,,,,,,,1,,leitema02
2024,844,Mark Leiter Jr.,33,CHC,NL,39,0,0,36.1,3,1,2,0,0,1.0,,,-1,-6.0,0.74,1.36,0.08,1.34,,,,,,,1,,leitema02
2024,844,Mark Leiter Jr.,33,NYY,AL,21,0,0,21.2,3,0,2,1,0,0.667,,,1,9.0,0.83,1.33,0.1,1.29,,,,,,,1,,leitema02
2024,845,David Bednar,29,PIT,NL,62,0,0,57.2,6,4,2,0,0,1.0,,,-3,-10.0,0.94,1.36,0.1,1.34,,,,,,,1,,bednada01
2024,846,Nick Sandlin,27,CLE,AL,68,1,0,57.2,10,1,9,0,1,1.0,,,2,7.0,1.56,1.31,0.15,1.29,,,,,,,1,,sandlni01
2024,847,Nick Mears,27,2TM,NL,54,0,0,57.2,4,0,4,0,0,1.0,,,-1,-3.0,0.62,1.36,0.07,1.34,,,,,,,1,,mearsni01
2024,847,Nick Mears,27,COL,NL,41,0,0,45.1,3,0,3,0,0,1.0,,,-1,-4.0,0.6,1.35,0.07,1.34,,,,,,,1,,mearsni01
2024,847,Nick Mears,27,MIL,NL,13,0,0,12.1,1,0,1,0,0,1.0,,,0,0.0,0.73,1.39,0.08,1.34,,,,,,,1,,mearsni01
2024,848,Alex Faedo,28,DET,AL,37,6,0,57.1,8,3,4,1,1,0.875,,,1,3.0,1.1,1.3,0.19,1.29,,,,,,,1,,faedoal01
2024,849,Reed Garrett,31,NYM,NL,53,0,0,57.1,9,1,7,1,0,0.889,,,1,3.0,1.26,1.37,0.15,1.34,,,,,,,1,,garrere01
2024,850,Max Meyer,25,MIA,NL,11,11,0,57.0,13,8,4,1,0,0.923,,,0,0.0,1.89,1.36,1.09,1.34,,,,,,,1,,meyerma01
2024,851,Zack Kelly,29,BOS,AL,49,3,0,56.2,18,9,9,0,0,1.0,,,1,4.0,2.86,1.32,0.37,1.29,,,,,,,1,,kellyza01
2024,852,James McArthur,27,KCR,AL,57,0,0,56.2,14,4,9,1,0,0.929,,,3,11.0,2.06,1.32,0.23,1.29,,,,,,,1,,mcartja01
2024,853,T.J. McFarland,35,OAK,AL,79,0,0,56.2,18,9,9,0,1,1.0,,,0,0.0,2.86,1.32,0.23,1.29,,,,,,,1,,mcfartj01
2024,854,Ryan Pressly,35,HOU,AL,59,0,0,56.2,11,5,6,0,1,1.0,,,0,0.0,1.75,1.32,0.19,1.29,,,,,,,1,,pressry01
2024,855,Jacob Webb,30,BAL,AL,60,0,0,56.2,8,2,6,0,0,1.0,,,0,0.0,1.27,1.32,0.13,1.29,,,,,,,1,,webbja01
2024,856,Alexis Díaz,27,CIN,NL,60,0,0,56.1,6,4,2,0,1,1.0,,,0,0.0,0.96,1.36,0.1,1.34,,,,,,,1,,diazal03
2024,857,Pierce Johnson,33,ATL,NL,58,0,0,56.1,11,2,9,0,1,1.0,,,1,4.0,1.76,1.36,0.19,1.34,,,,,,,1,,johnspi01
2024,858,Andrew Chafin,34,2TM,AL,62,0,0,56.1,5,3,2,0,0,1.0,,,0,0.0,0.8,1.31,0.08,1.29,,,,,,,1,,chafian01
2024,858,Andrew Chafin,34,DET,AL,41,0,0,37.0,3,3,0,0,0,1.0,,,0,0.0,0.73,1.31,0.07,1.29,,,,,,,1,,chafian01
2024,858,Andrew Chafin,34,TEX,AL,21,0,0,19.1,2,0,2,0,0,1.0,,,0,0.0,0.93,1.3,0.1,1.29,,,,,,,1,,chafian01
2024,859,Burch Smith,34,2TM,2LG,50,0,0,56.1,8,1,7,0,0,1.0,,,0,0.0,1.28,1.34,0.16,1.32,,,,,,,1,,smithbu03
2024,859,Burch Smith,34,MIA,NL,25,0,0,29.2,6,0,6,0,0,1.0,,,0,0.0,1.82,1.37,0.24,1.34,,,,,,,1,,smithbu03
2024,859,Burch Smith,34,BAL,AL,25,0,0,26.2,2,1,1,0,0,1.0,,,0,0.0,0.68,1.32,0.08,1.29,,,,,,,1,,smithbu03
2024,860,Bobby Miller,25,LAD,NL,13,13,0,56.0,4,2,2,0,0,1.0,,,0,0.0,0.64,1.37,0.31,1.34,,,,,,,1,,millebo06
2024,861,Adam Ottavino,38,NYM,NL,60,0,0,56.0,11,9,2,0,0,1.0,,,-3,-11.0,1.77,1.37,0.18,1.34,,,,,,,1,,ottavad01
2024,862,Shelby Miller,33,DET,AL,51,0,0,55.2,2,2,0,0,0,1.0,,,-1,-4.0,0.32,1.31,0.04,1.29,,,,,,,1,,millesh01
2024,863,Ben Brown,24,CHC,NL,15,8,0,55.1,5,4,1,0,0,1.0,,,-1,-4.0,0.81,1.37,0.33,1.34,,,,,,,1,,brownbe02
2024,864,Aaron Bummer,30,ATL,NL,56,0,0,55.1,12,1,10,1,0,0.917,,,-4,-14.0,1.79,1.37,0.2,1.34,,,,,,,1,,bummeaa01
2024,865,Justin Slaten,26,BOS,AL,44,0,0,55.1,4,2,2,0,0,1.0,,,0,0.0,0.65,1.3,0.09,1.29,,,,,,,1,,slateju01
2024,866,Keaton Winn,26,SFG,NL,12,12,0,55.1,11,7,4,0,0,1.0,,,1,4.0,1.79,1.37,0.92,1.34,,,,,,,1,,winnke01
2024,867,John Brebbia,34,2TM,2LG,59,0,0,55.1,4,0,4,0,0,1.0,,,-1,-4.0,0.65,1.32,0.07,1.29,,,,,,,1,,brebbjo01
2024,867,John Brebbia,34,CHW,AL,54,0,0,48.2,3,0,3,0,0,1.0,,,-1,-4.0,0.55,1.31,0.06,1.29,,,,,,,1,,brebbjo01
2024,867,John Brebbia,34,ATL,NL,5,0,0,6.2,1,0,1,0,0,1.0,,,0,0.0,1.35,1.35,0.2,1.34,,,,,,,/1,,brebbjo01
2024,868,Ryne Stanek,32,2TM,2LG,63,0,0,55.1,6,5,1,0,0,1.0,,,0,0.0,0.98,1.33,0.1,1.3,,,,,,,1,,stanery01
2024,868,Ryne Stanek,32,SEA,AL,46,0,0,39.0,4,3,1,0,0,1.0,,,0,0.0,0.92,1.32,0.09,1.29,,,,,,,1,,stanery01
2024,868,Ryne Stanek,32,NYM,NL,17,0,0,16.1,2,2,0,0,0,1.0,,,0,0.0,1.1,1.38,0.12,1.34,,,,,,,1,,stanery01
2024,869,Scott Barlow,31,CLE,AL,63,0,0,55.0,9,4,5,0,0,1.0,,,-2,-7.0,1.47,1.31,0.14,1.29,,,,,,,1,,barlosc01
2024,870,Owen Miller,27,MIL,NL,11,7,3,55.0,57,51,6,0,6,1.0,0.0,-7.0,-1,-22.0,9.33,7.18,4.38,6.58,,,,,,,/3H415D,,milleow01
2024,871,Carlos Estévez,31,2TM,2LG,54,0,0,55.0,6,1,4,1,0,0.833,,,0,0.0,0.82,1.33,0.09,1.31,,,,,,,1,,estevca01
2024,871,Carlos Estévez,31,LAA,AL,34,0,0,34.0,2,0,2,0,0,1.0,,,0,0.0,0.53,1.3,0.06,1.29,,,,,,,1,,estevca01
2024,871,Carlos Estévez,31,PHI,NL,20,0,0,21.0,4,1,2,1,0,0.75,,,0,0.0,1.29,1.37,0.15,1.34,,,,,,,1,,estevca01
2024,872,Kenley Jansen,36,BOS,AL,54,0,0,54.2,2,1,1,0,0,1.0,,,-1,-4.0,0.33,1.32,0.04,1.29,,,,,,,1,,janseke01
2024,873,Pedro León,26,HOU,AL,6,6,6,54.2,7,7,0,0,0,1.0,-3.0,-55.0,0,0.0,1.15,2.27,1.17,2.23,,,,,,,/9H,,leonpe01
2024,874,Kyle Nicolas,25,PIT,NL,51,0,0,54.2,5,2,3,0,1,1.0,,,1,4.0,0.82,1.37,0.1,1.34,,,,,,,1,,nicolky01
2024,875,Evan Phillips,29,LAD,NL,61,0,0,54.2,9,4,4,1,0,0.889,,,-1,-4.0,1.32,1.37,0.13,1.34,,,,,,,1,,phillev01
2024,876,Jhoan Durán,26,MIN,AL,58,0,0,54.1,20,8,11,1,0,0.95,,,0,0.0,3.15,1.31,0.33,1.29,,,,,,,1,,duranjh01
2024,877,Spencer Turnbull,31,PHI,NL,17,7,0,54.1,10,7,3,0,0,1.0,,,-2,-7.0,1.66,1.36,0.59,1.34,,,,,,,1,,turnbsp01
2024,878,Caleb Ferguson,27,2TM,AL,62,0,0,54.1,7,4,3,0,0,1.0,,,-1,-4.0,1.16,1.31,0.11,1.29,,,,,,,1,,ferguca01
2024,878,Caleb Ferguson,27,NYY,AL,42,0,0,33.1,3,2,1,0,0,1.0,,,-1,-6.0,0.81,1.3,0.07,1.29,,,,,,,1,,ferguca01
2024,878,Caleb Ferguson,27,HOU,AL,20,0,0,21.0,4,2,2,0,0,1.0,,,0,0.0,1.71,1.33,0.2,1.29,,,,,,,1,,ferguca01
2024,879,Charles Leblanc,28,LAA,AL,10,6,3,54.0,30,17,12,1,3,0.967,-1.0,-27.0,-1,-22.0,4.83,3.92,2.64,3.96,,,,,,,/543D,,leblach01
2024,880,Edwin Díaz,30,NYM,NL,54,0,0,53.2,5,1,3,1,0,0.8,,,-5,-19.0,0.67,1.36,0.07,1.34,,,,,,,1,,diazed04
2024,881,Calvin Faucher,28,MIA,NL,53,0,0,53.2,6,0,6,0,0,1.0,,,0,0.0,1.01,1.36,0.11,1.34,,,,,,,1,,fauchca01
2024,882,Billy McKinney,29,PIT,NL,10,6,3,53.2,9,8,1,0,0,1.0,-2.0,-38.0,1,22.0,1.51,2.21,0.9,2.18,,,,,,,/79H8,,mckinbi01
2024,883,Cionel Pérez,28,BAL,AL,62,0,0,53.2,14,4,10,0,0,1.0,,,0,0.0,2.35,1.31,0.23,1.29,,,,,,,1,,perezci01
2024,884,Ángel Zerpa,24,KCR,AL,60,0,0,53.2,13,3,8,2,0,0.846,,,1,4.0,1.84,1.31,0.18,1.29,,,,,,,1,,zerpaan01
2024,885,Bryan Hoeing,27,2TM,NL,34,2,0,53.2,11,3,7,1,2,0.909,,,-2,-7.0,1.68,1.36,0.29,1.34,,,,,,,1,,hoeinbr01
2024,885,Bryan Hoeing,27,MIA,NL,16,2,0,30.0,4,2,1,1,0,0.75,,,-2,-13.0,0.9,1.35,0.19,1.34,,,,,,,1,,hoeinbr01
2024,885,Bryan Hoeing,27,SDP,NL,18,0,0,23.2,7,1,6,0,2,1.0,,,0,0.0,2.66,1.37,0.39,1.34,,,,,,,1,,hoeinbr01
2024,886,Justin Anderson,31,CHW,AL,56,0,0,53.1,5,1,4,0,0,1.0,,,-1,-4.0,0.84,1.32,0.09,1.29,,,,,,,1,,anderju01
2024,887,Chad Green,33,TOR,AL,53,0,0,53.1,5,2,3,0,0,1.0,,,0,0.0,0.84,1.32,0.09,1.29,,,,,,,1,,greench03
2024,888,Chad Kuhl,31,CHW,AL,31,1,0,53.1,9,6,3,0,1,1.0,,,1,4.0,1.52,1.32,0.29,1.29,,,,,,,1,,kuhlch01
2024,889,Anthony Bender,29,MIA,NL,59,0,0,53.0,6,4,2,0,0,1.0,,,-1,-4.0,1.02,1.36,0.1,1.34,,,,,,,1,,bendean01
2024,890,Luke Jackson,32,2TM,NL,52,0,0,53.0,5,2,2,1,0,0.8,,,-2,-8.0,0.68,1.36,0.08,1.34,,,,,,,1,,jackslu01
2024,890,Luke Jackson,32,SFG,NL,36,0,0,35.0,4,1,2,1,0,0.75,,,-1,-6.0,0.77,1.36,0.08,1.34,,,,,,,1,,jackslu01
2024,890,Luke Jackson,32,ATL,NL,16,0,0,18.0,1,1,0,0,0,1.0,,,-1,-11.0,0.5,1.35,0.06,1.34,,,,,,,1,,jackslu01
2024,891,Jorge López,31,2TM,NL,52,0,0,53.0,8,2,3,3,0,0.625,,,-3,-11.0,0.85,1.36,0.1,1.34,,,,,,,1,,lopezjo02
